vessel_id,port_id,berth_id,arrival_time_hr,unload_start_hr,unload_end_hr,unloading_time_hr,waiting_time_hr
V04845,P005,3,10.88,19.29,24.05,4.76,8.41
V08802,P005,1,14.83,20.16,21.24,1.08,5.34
V02044,P005,1,10.67,21.24,26.54,5.3,10.58
V08294,P005,5,15.75,22.32,22.7,0.38,6.58
V07849,P005,5,12.43,22.7,26.42,3.72,10.27
V02418,P005,4,5.33,22.73,33.65,10.92,17.4
V08933,P005,3,14.32,24.05,26.87,2.82,9.74
V01097,P005,2,14.91,26.42,29.04,2.62,11.51
V03489,P005,5,6.32,26.42,38.38,11.96,20.1
V06654,P005,1,10.65,26.54,34.33,7.79,15.89
V01266,P005,3,5.36,26.87,40.36,13.49,21.51
V09745,P005,2,14.62,29.04,33.37,4.33,14.42
V08731,P005,2,11.12,33.37,41.23,7.86,22.25
V02440,P005,4,16.24,33.65,36.74,3.09,17.41
V00099,P005,1,5.29,34.33,48.58,14.25,29.05
V00123,P005,4,16.69,36.74,40.02,3.28,20.06
V05716,P005,5,16.49,38.38,41.92,3.54,21.89
V07453,P005,4,19.3,40.02,41.09,1.07,20.73
V08872,P005,3,13.67,40.36,47.53,7.17,26.69
V05325,P005,4,8.95,41.09,53.03,11.94,32.15
V00621,P005,2,16.43,41.23,45.94,4.71,24.8
V01781,P005,5,6.47,41.92,56.98,15.06,35.45
V07222,P005,2,18.23,45.94,50.69,4.75,27.71
V06025,P005,3,7.6,47.53,63.05,15.52,39.93
V06913,P005,1,10.44,48.58,61.78,13.2,38.15
V05603,P005,2,9.07,50.69,65.76,15.07,41.61
V05022,P005,4,22.98,53.03,54.2,1.17,30.06
V04361,P005,4,4.85,54.2,74.32,20.12,49.36
V02860,P005,5,18.89,56.98,63.26,6.28,38.1
V06802,P005,1,7.72,61.78,79.51,17.73,54.07
V05822,P005,3,23.25,63.05,65.25,2.2,39.81
V00289,P005,5,19.1,63.26,70.0,6.74,44.16
V04488,P005,3,19.84,65.25,71.73,6.48,45.42
V00516,P005,2,4.32,65.76,87.81,22.05,61.44
V07009,P005,5,13.74,70.0,82.88,12.88,56.27
V02367,P005,3,8.98,71.73,89.38,17.65,62.75
V05605,P005,4,7.13,74.32,93.95,19.63,67.2
V05728,P005,1,7.2,79.51,99.11,19.6,72.31
V09131,P005,5,23.59,82.88,86.2,3.32,59.29
V07706,P005,5,3.81,86.2,109.62,23.42,82.4
V05173,P005,2,3.4,87.81,111.64,23.83,84.41
V07528,P005,3,26.72,89.38,90.08,0.7,62.66
V04012,P005,3,19.24,90.08,98.54,8.46,70.84
V08604,P005,4,10.4,93.95,111.54,17.59,83.56
V05816,P005,3,5.17,98.54,121.8,23.26,93.38
V04873,P005,1,16.97,99.11,110.62,11.51,82.14
V06794,P005,5,19.38,109.62,118.78,9.16,90.25
V08208,P005,1,4.96,110.62,134.47,23.85,105.66
V09665,P005,4,20.7,111.54,119.92,8.38,90.84
V05566,P005,2,5.31,111.64,135.71,24.07,106.33
V06024,P005,5,8.97,118.78,139.59,20.81,109.82
V03487,P005,4,24.58,119.92,125.7,5.78,95.35
V06464,P005,3,17.05,121.8,135.52,13.72,104.75
V04635,P005,4,9.72,125.7,146.78,21.08,115.98
V01593,P005,1,12.86,134.47,152.42,17.95,121.62
V06372,P005,3,20.28,135.52,146.12,10.6,115.25
V07070,P005,2,11.18,135.71,155.5,19.79,124.53
V04587,P005,5,19.11,139.59,151.63,12.04,120.48
V01750,P005,3,18.56,146.12,158.81,12.69,127.56
V05018,P005,4,19.27,146.78,159.17,12.39,127.51
V09188,P005,5,2.07,151.63,181.37,29.74,149.57
V09024,P005,1,15.11,152.42,169.26,16.84,137.32
V04772,P005,2,20.42,155.5,167.24,11.74,135.08
V05134,P005,3,5.77,158.81,185.59,26.78,153.05
V03721,P005,4,25.49,159.17,166.43,7.26,133.68
V07859,P005,4,13.07,166.43,186.55,20.12,153.36
V04743,P005,2,4.39,167.24,196.25,29.01,162.84
V03517,P005,1,7.93,169.26,194.76,25.5,161.34
V09086,P005,5,10.64,181.37,204.39,23.02,170.74
V00239,P005,3,32.31,185.59,187.19,1.6,153.28
V06932,P005,4,9.79,186.55,210.77,24.22,176.76
V00958,P005,3,5.9,187.19,215.32,28.13,181.3
V00380,P005,1,15.63,194.76,213.2,18.44,179.13
V00503,P005,2,19.06,196.25,211.28,15.03,177.19
V08264,P005,5,3.89,204.39,234.98,30.59,200.51
V09080,P005,4,11.83,210.77,233.46,22.69,198.95
V05261,P005,2,13.6,211.28,232.28,21.0,197.68
V06478,P005,1,12.84,213.2,235.55,22.35,200.37
V03830,P005,3,16.82,215.32,233.91,18.59,198.51
V01869,P005,2,10.75,232.28,257.03,24.75,221.53
V03114,P005,4,8.88,233.46,260.13,26.67,224.59
V01731,P005,3,19.41,233.91,250.38,16.47,214.51
V08941,P005,5,26.78,234.98,244.14,9.16,208.21
V07305,P005,1,3.68,235.55,267.83,32.28,231.87
V03681,P005,5,34.85,244.14,245.36,1.22,209.3
V07952,P005,5,7.16,245.36,274.29,28.93,238.2
V07600,P005,3,17.03,250.38,269.49,19.11,233.35
V08754,P005,2,21.84,257.03,271.56,14.53,235.18
V01846,P005,4,31.36,260.13,265.51,5.38,228.78
V04976,P005,4,30.34,265.51,271.99,6.48,235.18
V05727,P005,1,15.06,267.83,289.61,21.78,252.78
V00937,P005,3,3.93,269.49,302.45,32.96,265.56
V09500,P005,2,14.25,271.56,294.39,22.83,257.31
V05661,P005,4,18.41,271.99,291.02,19.03,253.59
V01525,P005,5,30.9,274.29,280.84,6.55,243.39
V03490,P005,5,32.23,280.84,286.21,5.37,248.62
V08198,P005,5,17.34,286.21,306.73,20.52,268.88
V09710,P005,1,36.42,289.61,291.36,1.75,253.19
V05219,P005,4,22.98,291.02,306.5,15.48,268.04
V07858,P005,1,14.58,291.36,315.44,24.08,276.79
V08042,P005,2,14.03,294.39,319.1,24.71,280.36
V01058,P005,3,20.25,302.45,321.44,18.99,282.2
V00925,P005,4,24.73,306.5,321.05,14.55,281.77
V06990,P005,5,3.04,306.73,343.04,36.31,303.69
V02058,P005,1,31.33,315.44,323.92,8.48,284.12
V01745,P005,2,22.82,319.1,336.18,17.08,296.28
V00452,P005,4,25.85,321.05,335.22,14.17,295.21
V02724,P005,3,23.05,321.44,338.46,17.02,298.39
V04689,P005,1,25.17,323.92,338.84,14.92,298.76
V09671,P005,4,23.57,335.22,352.01,16.79,311.65
V02738,P005,2,34.26,336.18,342.32,6.14,301.91
V01485,P005,3,35.0,338.46,343.87,5.41,303.46
V03208,P005,1,38.05,338.84,341.44,2.6,300.8
V01621,P005,1,30.39,341.44,351.97,10.53,311.06
V05551,P005,2,18.88,342.32,364.37,22.05,323.43
V06549,P005,5,11.88,343.04,372.4,29.36,331.17
V08342,P005,3,39.3,343.87,345.94,2.07,304.57
V04451,P005,3,22.1,345.94,365.24,19.3,323.84
V08175,P005,1,32.37,351.97,361.44,9.47,319.6
V02581,P005,4,8.23,352.01,385.76,33.75,343.78
V01418,P005,1,10.97,361.44,392.59,31.15,350.47
V01708,P005,2,10.68,364.37,395.97,31.6,353.69
V03416,P005,3,40.73,365.24,367.16,1.92,324.51
V06195,P005,3,30.89,367.16,378.97,11.81,336.28
V01720,P005,5,21.71,372.4,393.84,21.44,350.69
V07353,P005,3,30.19,378.97,391.98,13.01,348.78
V08923,P005,4,35.48,385.76,393.55,7.79,350.28
V09023,P005,3,31.27,391.98,404.12,12.14,360.71
V02954,P005,1,40.04,392.59,396.42,3.83,352.56
V01659,P005,4,31.54,393.55,405.94,12.39,362.01
V01856,P005,5,30.18,393.84,407.75,13.91,363.67
V09418,P005,2,14.18,395.97,425.9,29.93,381.79
V00384,P005,1,43.3,396.42,397.37,0.95,353.12
V03852,P005,1,8.75,397.37,433.04,35.67,388.63
V04830,P005,3,26.78,404.12,421.84,17.72,377.34
V02288,P005,4,29.34,405.94,421.38,15.44,376.6
V05136,P005,5,44.19,407.75,408.72,0.97,363.57
V04540,P005,5,9.33,408.72,444.55,35.83,399.39
V02320,P005,4,19.87,421.38,446.7,25.32,401.52
V09874,P005,3,17.1,421.84,450.25,28.41,404.74
V08541,P005,2,32.14,425.9,439.34,13.44,393.76
V04803,P005,1,41.33,433.04,437.32,4.28,391.71
V02140,P005,1,41.93,437.32,441.15,3.83,395.4
V06312,P005,2,26.07,439.34,459.04,19.7,413.27
V05675,P005,1,44.52,441.15,442.52,1.37,396.64
V02756,P005,1,16.32,442.52,472.56,30.04,426.21
V07377,P005,5,42.16,444.55,448.76,4.21,402.4
V09664,P005,4,5.92,446.7,487.22,40.52,440.79
V03644,P005,5,30.44,448.76,465.1,16.34,418.33
V01035,P005,3,6.12,450.25,491.23,40.98,444.13
V09491,P005,2,24.01,459.04,482.28,23.24,435.03
V00276,P005,5,35.43,465.1,477.1,12.0,429.67
V05112,P005,1,45.63,472.56,474.38,1.82,426.94
V08836,P005,1,4.3,474.38,517.73,43.35,470.09
V02765,P005,5,9.56,477.1,515.21,38.11,467.55
V02137,P005,2,6.13,482.28,523.88,41.6,476.15
V06019,P005,4,24.58,487.22,510.44,23.22,462.64
V04222,P005,3,27.85,491.23,511.4,20.17,463.39
V01081,P005,4,34.61,510.44,524.33,13.89,475.83
V04131,P005,3,38.46,511.4,521.49,10.09,472.95
V06996,P005,5,48.14,515.21,515.71,0.5,467.08
V02877,P005,5,30.44,515.71,534.33,18.62,485.28
V08003,P005,1,8.81,517.73,558.03,40.3,508.92
V09395,P005,3,17.61,521.49,553.3,31.81,503.89
V04141,P005,2,28.94,523.88,544.42,20.54,494.93
V07905,P005,4,6.44,524.33,567.59,43.26,517.9
V02676,P005,5,16.41,534.33,567.8,33.47,517.93
V02464,P005,2,31.38,544.42,563.15,18.73,513.03
V04102,P005,3,23.8,553.3,579.77,26.47,529.5
V09154,P005,1,44.27,558.03,564.08,6.05,513.77
V04829,P005,2,19.47,563.15,594.09,30.94,543.68
V01501,P005,1,43.59,564.08,571.05,6.97,520.5
V09862,P005,4,26.01,567.59,592.23,24.64,541.59
V08406,P005,5,29.75,567.8,588.89,21.09,538.06
V08346,P005,1,37.42,571.05,584.6,13.55,533.64
V08811,P005,3,13.97,579.77,616.92,37.15,565.8
V03979,P005,1,10.87,584.6,625.06,40.46,573.73
V04517,P005,5,35.28,588.89,605.03,16.14,553.61
V00458,P005,4,37.98,592.23,605.73,13.5,554.25
V00131,P005,2,19.11,594.09,626.5,32.41,574.98
V04447,P005,5,10.27,605.03,646.29,41.26,594.77
V09300,P005,4,7.55,605.73,649.97,44.24,598.18
V06575,P005,3,11.9,616.92,656.89,39.97,605.02
V05483,P005,1,28.38,625.06,648.73,23.67,596.69
V04871,P005,2,38.62,626.5,639.99,13.49,587.87
V00815,P005,2,48.13,639.99,644.04,4.05,591.85
V02652,P005,2,39.02,644.04,657.49,13.45,605.01
V05282,P005,5,25.32,646.29,673.67,27.38,620.97
V00020,P005,1,28.47,648.73,673.08,24.35,620.26
V05757,P005,4,36.4,649.97,666.43,16.46,613.57
V08157,P005,3,39.72,656.89,670.38,13.49,617.17
V06332,P005,2,43.03,657.49,667.76,10.27,614.45
V03800,P005,4,29.23,666.43,690.52,24.09,637.2
V01704,P005,2,41.77,667.76,679.63,11.87,625.98
V09698,P005,3,42.97,670.38,681.41,11.03,627.41
V00096,P005,1,38.32,673.08,688.79,15.71,634.76
V02664,P005,5,40.18,673.67,687.99,14.32,633.49
V00108,P005,2,50.24,679.63,683.97,4.34,629.39
V04122,P005,3,42.13,681.41,694.03,12.62,639.28
V09329,P005,2,42.27,683.97,696.89,12.92,641.69
V09586,P005,5,43.19,687.99,700.04,12.05,644.8
V06880,P005,1,26.66,688.79,717.38,28.59,662.13
V06219,P005,4,17.81,690.52,728.05,37.53,672.71
V02196,P005,3,32.48,694.03,717.25,23.22,661.56
V01507,P005,2,29.55,696.89,723.2,26.31,667.34
V05949,P005,5,46.17,700.04,709.83,9.79,653.88
V07882,P005,5,25.07,709.83,740.72,30.89,684.77
V02007,P005,3,33.29,717.25,740.12,22.87,683.97
V03743,P005,1,44.52,717.38,729.05,11.67,672.87
V01199,P005,2,50.4,723.2,728.99,5.79,672.8
V08629,P005,4,15.18,728.05,769.17,41.12,712.88
V03258,P005,2,18.81,728.99,766.6,37.61,710.18
V05084,P005,1,29.75,729.05,755.72,26.67,699.31
V01830,P005,3,39.11,740.12,757.59,17.47,701.01
V03972,P005,5,35.67,740.72,761.99,21.27,705.05
V07261,P005,1,15.68,755.72,797.45,41.73,740.04
V09917,P005,3,12.4,757.59,802.61,45.02,745.19
V05357,P005,5,12.21,761.99,807.32,45.33,749.78
V06341,P005,2,37.49,766.6,786.83,20.23,729.1
V06730,P005,4,53.25,769.17,773.68,4.51,715.92
V04810,P005,4,39.54,773.68,791.98,18.3,734.14
V03553,P005,2,30.35,786.83,814.53,27.7,756.48
V00498,P005,4,7.19,791.98,843.16,51.18,784.8
V09769,P005,1,51.34,797.45,804.5,7.05,746.12
V08454,P005,3,54.53,802.61,806.7,4.09,748.09
V08704,P005,1,15.14,804.5,848.01,43.51,789.37
V01742,P005,3,53.21,806.7,812.55,5.85,753.49
V06297,P005,5,33.5,807.32,833.97,26.65,773.83
V02156,P005,3,22.26,812.55,850.48,37.93,790.29
V09646,P005,2,30.8,814.53,843.93,29.4,783.73
V04597,P005,5,34.75,833.97,859.61,25.64,799.23
V04765,P005,4,26.65,843.16,877.11,33.95,816.51
V08230,P005,2,49.53,843.93,855.04,11.11,794.4
V02417,P005,1,45.29,848.01,863.6,15.59,802.72
V07329,P005,3,12.62,850.48,898.98,48.5,837.87
V04654,P005,2,46.66,855.04,869.58,14.54,808.38
V01395,P005,5,19.09,859.61,901.72,42.11,840.52
V00257,P005,1,58.14,863.6,867.19,3.59,805.46
V07979,P005,1,52.05,867.19,877.79,10.6,815.15
V02925,P005,2,29.41,869.58,902.91,33.33,840.17
V08867,P005,4,40.05,877.11,899.8,22.69,837.06
V02961,P005,1,29.23,877.79,911.53,33.74,848.57
V06460,P005,3,21.45,898.98,940.7,41.72,877.53
V00608,P005,4,18.9,899.8,944.4,44.6,880.9
V05709,P005,5,40.99,901.72,924.35,22.63,860.74
V00068,P005,2,42.35,902.91,924.35,21.44,860.56
V04096,P005,1,26.72,911.53,948.65,37.12,884.82
V01802,P005,2,57.9,924.35,930.32,5.97,866.44
V04854,P005,5,35.12,924.35,953.26,28.91,889.24
V03011,P005,2,35.14,930.32,960.11,29.79,895.18
V06849,P005,3,50.19,940.7,955.47,14.77,890.51
V07613,P005,4,48.02,944.4,961.51,17.11,896.38
V09434,P005,1,22.2,948.65,991.65,43.0,926.45
V08379,P005,5,33.69,953.26,985.17,31.91,919.58
V06854,P005,3,36.55,955.47,984.61,29.14,918.93
V09776,P005,2,31.66,960.11,994.2,34.09,928.44
V02636,P005,4,63.33,961.51,964.18,2.67,898.19
V07561,P005,4,43.95,964.18,986.3,22.12,920.24
V07898,P005,3,24.21,984.61,1026.55,41.94,960.41
V07627,P005,5,52.15,985.17,999.17,14.0,933.02
V01487,P005,4,33.86,986.3,1018.63,32.33,952.45
V02969,P005,1,55.3,991.65,1003.01,11.36,936.35
V07118,P005,2,8.91,994.2,1051.99,57.79,985.29
V07900,P005,5,66.24,999.17,999.64,0.47,932.93
V08929,P005,5,18.94,999.64,1047.55,47.91,980.71
V04837,P005,1,29.29,1003.01,1040.88,37.87,973.73
V04940,P005,4,42.31,1018.63,1043.69,25.06,976.33
V01873,P005,3,42.54,1026.55,1051.5,24.95,984.01
V05222,P005,1,23.9,1040.88,1084.55,43.67,1016.98
V07766,P005,4,53.32,1043.69,1058.36,14.67,990.38
V05849,P005,5,34.97,1047.55,1080.79,33.24,1012.59
V05014,P005,3,44.25,1051.5,1075.89,24.39,1007.25
V06459,P005,2,6.3,1051.99,1114.51,62.52,1045.68
V06857,P005,4,35.42,1058.36,1091.9,33.54,1022.94
V06721,P005,3,64.57,1075.89,1080.31,4.42,1011.32
V02343,P005,3,8.89,1080.31,1140.42,60.11,1071.43
V02999,P005,5,23.82,1080.79,1126.26,45.47,1056.98
V09098,P005,1,7.21,1084.55,1146.7,62.15,1077.35
V05886,P005,4,48.24,1091.9,1113.29,21.39,1043.67
V09688,P005,4,24.1,1113.29,1159.11,45.82,1089.19
V08774,P005,2,27.4,1114.51,1157.27,42.76,1087.11
V01512,P005,5,43.49,1126.26,1152.95,26.69,1082.77
V01330,P005,3,66.35,1140.42,1144.38,3.96,1074.07
V09938,P005,3,35.31,1144.38,1179.4,35.02,1109.07
V06336,P005,1,34.11,1146.7,1183.05,36.35,1112.6
V09865,P005,5,36.86,1152.95,1186.74,33.79,1116.1
V03705,P005,2,65.03,1157.27,1163.39,6.12,1092.24
V00271,P005,4,61.46,1159.11,1169.15,10.04,1097.66
V02851,P005,2,61.08,1163.39,1173.94,10.55,1102.31
V00074,P005,4,68.07,1169.15,1172.77,3.62,1101.09
V03827,P005,4,32.48,1172.77,1212.0,39.23,1140.29
V04683,P005,2,52.01,1173.94,1193.93,19.99,1121.93
V05350,P005,3,41.36,1179.4,1210.2,30.8,1138.05
V09775,P005,1,43.83,1183.05,1211.52,28.47,1139.22
V03464,P005,5,32.06,1186.74,1227.02,40.28,1154.68
V08521,P005,2,56.59,1193.93,1209.92,15.99,1137.34
V06046,P005,2,45.35,1209.92,1237.36,27.44,1164.57
V08686,P005,3,66.58,1210.2,1216.45,6.25,1143.62
V00648,P005,1,33.89,1211.52,1250.72,39.2,1177.64
V08817,P005,4,53.13,1212.0,1231.98,19.98,1158.88
V07471,P005,3,43.16,1216.45,1246.56,30.11,1173.29
V03007,P005,5,41.12,1227.02,1259.28,32.26,1185.9
V02353,P005,4,56.39,1231.98,1249.03,17.05,1175.6
V04059,P005,2,66.0,1237.36,1244.96,7.6,1171.36
V08710,P005,2,50.98,1244.96,1267.59,22.63,1193.98
V05746,P005,3,36.59,1246.56,1283.78,37.22,1209.98
V02953,P005,4,43.67,1249.03,1279.38,30.35,1205.37
V00170,P005,1,42.01,1250.72,1282.86,32.14,1208.71
V04159,P005,5,46.31,1259.28,1287.45,28.17,1212.97
V01313,P005,2,38.98,1267.59,1303.4,35.81,1228.6
V04858,P005,4,52.37,1279.38,1301.98,22.6,1227.02
V05558,P005,1,35.59,1282.86,1322.41,39.55,1247.27
V04933,P005,3,60.62,1283.78,1298.48,14.7,1223.16
V00592,P005,5,38.77,1287.45,1324.02,36.57,1248.69
V05425,P005,3,21.4,1298.48,1352.52,54.04,1277.08
V07586,P005,4,60.36,1301.98,1317.56,15.58,1241.63
V03630,P005,2,28.49,1303.4,1351.0,47.6,1274.9
V02120,P005,4,46.71,1317.56,1346.95,29.39,1270.85
V01211,P005,1,47.37,1322.41,1351.25,28.84,1275.05
V02736,P005,5,55.29,1324.02,1345.27,21.25,1268.74
V07052,P005,5,62.3,1345.27,1359.57,14.3,1282.97
V02208,P005,4,52.99,1346.95,1370.67,23.72,1293.97
V05613,P005,2,71.82,1351.0,1356.05,5.05,1279.18
V07824,P005,1,53.32,1351.25,1374.83,23.58,1297.93
V03161,P005,3,29.04,1352.52,1400.68,48.16,1323.48
V04894,P005,2,14.97,1356.05,1418.3,62.25,1341.08
V04767,P005,5,60.24,1359.57,1376.58,17.01,1299.33
V04775,P005,4,17.72,1370.67,1430.36,59.69,1352.96
V04144,P005,1,56.87,1374.83,1395.48,20.65,1317.96
V02270,P005,5,56.65,1376.58,1398.27,21.69,1319.94
V01264,P005,1,33.59,1395.48,1440.33,44.85,1361.89
V07385,P005,5,54.34,1398.27,1422.79,24.52,1343.93
V08041,P005,3,62.41,1400.68,1417.29,16.61,1338.28
V05990,P005,3,52.98,1417.29,1443.42,26.13,1364.31
V07510,P005,2,46.14,1418.3,1451.47,33.17,1372.16
V02672,P005,5,46.87,1422.79,1455.32,32.53,1375.92
V05953,P005,4,63.51,1430.36,1446.31,15.95,1366.85
V09512,P005,1,48.45,1440.33,1471.98,31.65,1391.88
V00322,P005,3,64.12,1443.42,1459.88,16.46,1379.3
V09267,P005,4,40.42,1446.31,1486.66,40.35,1405.89
V05912,P005,2,49.73,1451.47,1482.85,31.38,1401.74
V07694,P005,5,46.56,1455.32,1489.99,34.67,1408.77
V00185,P005,3,16.31,1459.88,1524.9,65.02,1443.58
V08819,P005,1,54.38,1471.98,1499.32,27.34,1417.6
V01824,P005,2,40.81,1482.85,1523.91,41.06,1442.04
V05315,P005,4,53.52,1486.66,1515.15,28.49,1433.15
V04505,P005,5,65.74,1489.99,1506.32,16.33,1424.26
V05426,P005,1,37.4,1499.32,1544.05,44.73,1461.93
V07593,P005,5,66.77,1506.32,1522.07,15.75,1439.56
V08616,P005,4,57.4,1515.15,1540.62,25.47,1457.75
V05744,P005,5,56.52,1522.07,1548.64,26.57,1465.55
V07634,P005,2,57.51,1523.91,1549.91,26.0,1466.4
V07698,P005,3,35.36,1524.9,1573.06,48.16,1489.54
V00620,P005,4,76.23,1540.62,1548.31,7.69,1464.39
V01836,P005,1,74.43,1544.05,1553.54,9.49,1469.62
V08418,P005,4,28.71,1548.31,1603.52,55.21,1519.6
V05139,P005,5,60.14,1548.64,1572.45,23.81,1488.5
V04559,P005,2,54.41,1549.91,1579.67,29.76,1495.5
V08628,P005,1,82.27,1553.54,1555.67,2.13,1471.27
V02705,P005,1,82.43,1555.67,1558.02,2.35,1473.24
V00087,P005,1,40.67,1558.02,1602.36,44.34,1517.36
V03277,P005,5,53.72,1572.45,1604.61,32.16,1518.74
V07425,P005,3,37.47,1573.06,1622.1,49.04,1535.59
V07068,P005,2,24.27,1579.67,1641.98,62.31,1555.4
V01137,P005,1,70.69,1602.36,1618.32,15.96,1531.68
V05231,P005,4,67.0,1603.52,1623.36,19.84,1536.53
V08887,P005,5,58.38,1604.61,1633.22,28.61,1546.23
V02856,P005,1,50.45,1618.32,1655.14,36.82,1567.88
V02388,P005,3,42.45,1622.1,1667.0,44.9,1579.65
V02569,P005,4,49.7,1623.36,1661.19,37.83,1573.67
V05937,P005,5,53.04,1633.22,1667.93,34.71,1580.18
V06961,P005,2,32.45,1641.98,1697.65,55.67,1609.52
V06997,P005,1,44.44,1655.14,1698.89,43.75,1610.7
V03482,P005,4,78.43,1661.19,1670.98,9.79,1582.76
V00036,P005,3,64.36,1667.0,1691.12,24.12,1602.64
V08866,P005,5,69.43,1667.93,1687.0,19.07,1598.5
V06786,P005,4,54.24,1670.98,1705.86,34.88,1616.75
V00356,P005,5,77.94,1687.0,1698.66,11.66,1609.07
V04070,P005,3,80.16,1691.12,1700.81,9.69,1610.96
V00256,P005,2,74.98,1697.65,1712.55,14.9,1622.66
V07655,P005,5,73.11,1698.66,1715.78,17.12,1625.56
V06519,P005,1,52.82,1698.89,1736.73,37.84,1646.08
V05149,P005,3,30.02,1700.81,1762.58,61.77,1670.79
V07452,P005,4,46.96,1705.86,1750.93,45.07,1658.9
V09474,P005,2,18.59,1712.55,1787.04,74.49,1693.96
V02279,P005,5,36.12,1715.78,1772.84,57.06,1679.66
V09466,P005,1,82.6,1736.73,1747.37,10.64,1654.13
V08512,P005,1,45.94,1747.37,1794.68,47.31,1701.44
V06737,P005,4,62.36,1750.93,1782.29,31.36,1688.58
V09235,P005,3,40.67,1762.58,1816.02,53.44,1721.92
V09370,P005,5,48.75,1772.84,1819.75,46.91,1724.09
V07987,P005,4,55.56,1782.29,1822.47,40.18,1726.74
V00353,P005,2,74.27,1787.04,1809.14,22.1,1712.77
V01801,P005,1,94.68,1794.68,1796.9,2.22,1700.0
V08133,P005,1,71.3,1796.9,1822.62,25.72,1725.61
V01352,P005,2,79.94,1809.14,1826.92,17.78,1729.19
V02354,P005,3,70.38,1816.02,1843.47,27.45,1745.64
V02085,P005,5,65.72,1819.75,1852.33,32.58,1754.03
V05554,P005,4,75.62,1822.47,1845.97,23.5,1746.86
V01059,P005,1,50.54,1822.62,1871.4,48.78,1772.08
V08250,P005,2,75.56,1826.92,1851.85,24.93,1751.35
V09205,P005,3,66.46,1843.47,1878.11,34.64,1777.01
V06142,P005,4,36.77,1845.97,1911.01,65.04,1809.2
V03302,P005,2,93.58,1851.85,1860.91,9.06,1758.27
V05663,P005,5,56.0,1852.33,1899.25,46.92,1796.33
V05877,P005,2,87.48,1860.91,1876.39,15.48,1773.42
V03103,P005,1,87.66,1871.4,1887.2,15.8,1783.75
V02145,P005,2,33.55,1876.39,1946.46,70.07,1842.83
V02669,P005,3,60.23,1878.11,1921.72,43.61,1817.88
V01829,P005,1,81.95,1887.2,1909.84,22.64,1805.26
V07991,P005,5,56.82,1899.25,1947.57,48.32,1842.43
V09743,P005,1,54.67,1909.84,1960.33,50.49,1855.18
V09619,P005,4,37.94,1911.01,1978.27,67.26,1873.07
V07103,P005,3,56.76,1921.72,1970.7,48.98,1864.96
V03986,P005,2,71.27,1946.46,1981.44,34.98,1875.19
V03505,P005,5,97.74,1947.57,1956.17,8.6,1849.83
V01648,P005,5,62.29,1956.17,2001.03,44.86,1893.89
V09966,P005,1,66.21,1960.33,2001.68,41.35,1894.12
V00555,P005,3,46.23,1970.7,2033.45,62.75,1924.47
V07383,P005,4,91.84,1978.27,1996.18,17.91,1886.44
V03295,P005,2,78.55,1981.44,2014.32,32.88,1902.89
V05436,P005,4,90.33,1996.18,2017.43,21.25,1905.85
V06001,P005,5,89.03,2001.03,2025.76,24.73,1912.01
V00140,P005,1,61.22,2001.68,2055.34,53.66,1940.46
V09894,P005,2,82.9,2014.32,2048.02,33.7,1931.42
V07739,P005,4,53.9,2017.43,2081.18,63.75,1963.54
V04084,P005,5,70.25,2025.76,2074.04,48.28,1955.51
V03055,P005,3,83.01,2033.45,2070.4,36.95,1950.44
V01400,P005,2,46.28,2048.02,2122.06,74.04,2001.74
V01306,P005,1,107.81,2055.34,2068.05,12.71,1947.53
V08329,P005,1,97.74,2068.05,2091.98,23.93,1970.32
V03142,P005,3,78.95,2070.4,2114.56,44.16,1991.45
V08251,P005,5,93.21,2074.04,2105.13,31.09,1980.83
V02153,P005,4,76.48,2081.18,2129.32,48.14,2004.7
V07537,P005,1,83.59,2091.98,2133.55,41.57,2008.39
V04326,P005,5,45.18,2105.13,2186.45,81.32,2059.95
V00250,P005,3,111.77,2114.56,2132.97,18.41,2002.79
V00253,P005,2,106.79,2122.06,2145.87,23.81,2015.26
V09941,P005,4,107.15,2129.32,2152.82,23.5,2022.17
V00499,P005,3,82.11,2132.97,2182.44,49.47,2050.86
V08283,P005,1,100.74,2133.55,2164.8,31.25,2032.82
V01672,P005,2,91.73,2145.87,2186.35,40.48,2054.14
V00402,P005,4,77.23,2152.82,2208.43,55.61,2075.59
V05960,P005,1,98.29,2164.8,2201.11,36.31,2066.52
V09800,P005,3,74.22,2182.44,2245.68,63.24,2108.22
V06652,P005,2,113.75,2186.35,2210.71,24.36,2072.59
V03660,P005,5,108.75,2186.45,2221.71,35.26,2077.71
V06370,P005,1,101.87,2201.11,2247.24,46.13,2099.24
V02977,P005,4,101.97,2208.43,2255.48,47.05,2106.46
V00141,P005,2,123.51,2210.71,2237.39,26.68,2087.19
V09613,P005,5,117.67,2221.71,2260.83,39.12,2104.05
V00193,P005,2,117.6,2237.39,2286.33,48.94,2119.78
V07024,P005,3,103.57,2245.68,2315.72,70.04,2142.11
V01484,P006,1,2.94,2.94,4.09,1.15,0.0
V08126,P006,2,3.31,3.31,4.54,1.23,0.0
V02715,P006,3,3.73,3.73,6.04,2.31,0.0
V04237,P006,4,5.78,5.78,6.98,1.2,0.0
V06030,P006,5,7.88,7.88,8.94,1.06,0.0
V06534,P006,1,5.62,5.62,9.44,3.82,0.0
V09251,P006,2,4.3,4.54,11.32,6.78,0.25
V01902,P006,3,3.07,6.04,14.86,8.82,2.98
